7zip 24.09-3
python-service-identity 24.2.0-2
python-setproctitle 1.3.5-1
python-setuptools 1:80.9.0-1
python-six 1.17.0-1
python-threadpoolctl 3.5.0-2
python-tomli 2.0.1-5
python-tqdm 4.67.1-2
python-twisted 24.3.0-4
python-typing_extensions 4.13.2-1
python-urllib3 2.5.0-1
python-wheel 0.45.1-1
python-yarl 1.21.1-1
python-zipp 3.21.0-2
python-zope-interface 7.2-1
qca-qt6 2.3.10-2
qhull 2020.2-5
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-location 5.15.17+kde+r7-1
qt5-quickcontrols 5.15.17-1
qt5-remoteobjects 5.15.17-1
qt5-translations 5.15.17-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-2
qt6-5compat 6.9.1-1
qt6-base 6.9.1-2
qt6-declarative 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qt6ct 0.10-4
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.2.013-2
redland 1:1.0.17-9
reflector 2023-3
rhash 1.4.4-1
ripgrep 14.1.1-1
rofi-wayland 1.7.9.1-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.3.0-1
sbc 2.0-2
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.32.56-1
sdl3 3.2.16-1
seatd 0.9.1-1
secret-service 0.2.2-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
signal-desktop 7.58.0-1
simdjson 1:3.13.0-1
slang 2.3.3-3
slurp 1.5.0-1
snapper 0.12.2-4
snappy 1.2.2-2
sndio 1.10.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
spotify 1:1.2.63.394-1
sqlite 3.50.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-2
stow 2.4.1-1
sudo 1.9.16.p2-2
svt-av1 3.0.2-1
swaync 0.11.0-1
syncplay 1.7.4-1
systemd 257.6-1
systemd-libs 257.6-1
systemd-sysvcompat 257.6-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
tealdeer 1.7.2-1
texinfo 7.2-1
tinysparql 3.9.2-2
tk 8.6.16-1
tmux 3.5_a-1
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
transmission-gtk 4.0.6-10
tree-sitter 0.25.6-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.6.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-liberation 2.1.5-2
tumbler 4.20.0-3
twine 6.1.0-1
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-6
unibilium 2.1.2-1
unzip 6.0-22
upd72020x-fw 1:1.0.0-3
upower 1.90.9-1
usbutils 018-1
util-linux 2.41-4
util-linux-libs 2.41-4
uwsm 0.22.0-1
v4l-utils 1.30.1-1
vapoursynth R70-2
vi 1:070224-6
